"date","time","size","version","os","country","ip_id"
"2015-06-26","21:49:15",65067796,"3.2.1","win","CR",1
"2015-06-26","21:49:17",65067796,"3.2.1","win","US",2
"2015-06-26","21:49:56",79860,"3.2.1","win","DE",3
"2015-06-26","21:49:59",3063720,"3.2.1","win","DE",3
"2015-06-26","21:50:45",14616,"3.2.0","win","CN",4
"2015-06-26","21:51:44",72469261,"3.2.1","osx","FR",5
"2015-06-26","21:51:42",72469261,"3.2.1","osx","GB",6
"2015-06-26","21:52:20",65067791,"3.2.1","win","BR",7
"2015-06-26","21:52:55",14616,"3.2.0","win","CN",4
"2015-06-26","21:54:29",65067796,"3.2.1","win","US",8
"2015-06-26","21:54:35",65067796,"3.2.1","win","FR",9
"2015-06-26","21:52:10",14616,"3.0.2","src","CN",10
"2015-06-26","21:56:47",87875,"3.2.1","src","CN",11
"2015-06-26","21:56:47",4131144,"3.2.1","osx","US",12
"2015-06-26","21:57:12",65067796,"3.2.1","win","GB",13
"2015-06-26","21:56:48",56800,"3.2.1","src","CN",11
"2015-06-26","21:56:38",56995,"3.2.0","src","CN",14
"2015-06-26","21:57:22",14616,"2.14.1","win","CN",10
"2015-06-26","21:57:06",56800,"3.2.1","src","CN",11
"2015-06-26","21:57:53",29125448,"3.2.0","src","US",15
"2015-06-26","03:59:38",14616,"3.2.0","src","CN",16
"2015-06-26","10:13:00",65067790,"3.2.1","win","GB",17
"2015-06-26","10:13:17",11721,"3.2.0","win","CN",18
"2015-06-26","10:13:13",14616,"3.0.2","src","CN",10
"2015-06-26","10:15:12",65067799,"3.2.1","win","IT",19
"2015-06-26","10:16:26",65067796,"3.2.1","win","NL",20
"2015-06-26","10:16:28",65067800,"3.2.1","win","CN",21
"2015-06-26","10:16:35",65067796,"3.2.1","win","AU",22
"2015-06-26","10:17:04",65067791,"3.2.1","win","TR",23
"2015-06-26","10:18:17",206640,"3.1.3","win","CN",24
"2015-06-26","10:18:11",1966353,"3.1.3","win","CN",24
"2015-06-26","10:17:53",65067796,"3.2.1","win","KR",25
"2015-06-26","10:18:55",14616,"2.14.1","win","CN",10
"2015-06-26","10:19:04",65067800,"3.2.1","win","NL",26
"2015-06-26","10:21:01",65067796,"3.2.1","win","ES",27
